imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt32186579,An Unfinished Film,"January 2020. A film crew reunites near Wuhan to resume the shooting of a film halted ten years earlier, only to share the unexpected challenges as cities are placed under lockdown.",2024,20241h 47m,7.2,1.6K,,january film crew reunites near wuhan resume shooting film halted ten years earlier share unexpected challenges cities placed lockdown
tt33402423,Family Secrets: The Disappearance of Alissa Turney,"Sarah Turney became a viral sensation when she posted suspicions on social media that her dad killed her sister, Alissa. Now Sarah, re-examines her and Alissa's childhood.",2024,20241h 24m,6.6,456,,sarah turney became viral sensation posted suspicions social media dad killed sister alissa sarah examines alissa childhood
tt34383081,Empire of the Rabbits,A daring boy's journey against the cruel entanglements of deception and disabilities of the adult world.,2024,20241h 34m,6.1,205,,daring boy journey cruel entanglements deception disabilities adult world
tt32086069,Marcello Mio,"Chiara is an actress and daughter of Marcello Mastroianni and Catherine Deneuve. One summer, she decides to live like her father. She dresses, speaks, and breathes like him with such conviction that others start calling her ""Marcello"".",2024,20242h,5.8,1.2K,,chiara actress daughter marcello mastroianni catherine deneuve one summer decides live like father dresses speaks breathes like conviction others start calling marcello
tt32186523,Three Kilometres to the End of the World,"Set in a conservative Danube Delta community, a gay teenager's journey of self-discovery clashes with the traditional values upheld by his parents and neighbors.",2024,20241h 45m,7.1,1.7K,,set conservative danube delta community gay teenager journey self discovery clashes traditional values upheld parents neighbors
tt13983826,Obraz,A hunted child will find refuge in the house of the enemy. The host faces a terrible choice: save the child's life or risk losing his own family.,2024,20241h 35m,7.5,253,,hunted child find refuge house enemy host faces terrible choice save child life risk losing family
tt30834999,Family,"Summer, 2002. Watching her sick father decline, 11-year-old Johanna makes a call for a good spirit to save him. But something else comes instead.",2026,20261h 35m,6.4,39,,summer watching sick father decline year old johanna makes call good spirit save something else comes instead
tt10850320,Luther: Never Too Much,"Chronicles the life of an iconic musical performer, from childhood musical talent to worldwide fame. Explores his collaborations, influences, character and relationships with family, friends and fans.",2024,20241h 41m,8.1,1.1K,,chronicles life iconic musical performer childhood musical talent worldwide fame explores collaborations influences character relationships family friends fans
tt26591189,The Plot,The story is about a hitman named Brain who suffers an accident during a murder and struggles to survive while suspecting everyone around him to find out who is behind the accident after barely surviving.,2024,20241h 40m,4.8,568,,story hitman named brain suffers accident murder struggles survive suspecting everyone around find behind accident barely surviving
tt12598606,Gunner,"Lee Gunner tries to save his sons, Luke and Travis, from a dangerous drug gang.",2024,20241h 46m,3.2,3.5K,,lee gunner tries save sons luke travis dangerous drug gang
tt16732698,Never Look Away,"CNN camerawoman Margaret Moth fearlessly captures footage of war zones. A Sundance premiere featuring Christiane Amanpour, directed by Lucy Lawless.",2024,20241h 25m,7.2,365,,cnn camerawoman margaret moth fearlessly captures footage war zones sundance premiere featuring christiane amanpour directed lucy lawless
tt31987050,Blue Period,A successful but bored high school student is inspired to take up a career in art and discovers his passion in painting.,2024,20241h 55m,6.8,342,,successful bored high school student inspired take career art discovers passion painting
tt10974574,Ravens,The dark fantasy love story of legendary Japanese photographer Masahisa Fukase and his wife Yoko.,2024,20241h 57m,7.8,112,,dark fantasy love story legendary japanese photographer masahisa fukase wife yoko
tt7549722,The Seven Sorrows of Mary,"Mary is out with her boyfriend Gabriel when they are kidnapped; their captors beat Gabriel and rape Mary, who is forced to choose letting Gabriel be killed so she can be freed, or returning to her brutal attackers.",2024,20241h 38m,6.4,65,,mary boyfriend gabriel kidnapped captors beat gabriel rape mary forced choose letting gabriel killed freed returning brutal attackers
tt23648404,Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match.",2024,20241h 34m,5.4,1.5K,,small time wrestling company accepts well paying gig backwoods town learn late community run mysterious cult leader devious plans match
tt32765596,Dreams in Nightmares,Three friends in their mid-thirties as they road trip across the Midwestern United States in search of their friend who has seemingly disappeared off the grid.,2024,20242h 8m,6.8,93,,three friends mid thirties road trip across midwestern united states search friend seemingly disappeared grid
tt24669794,Breakup Season,"A young man brings his girlfriend to his rural Oregon hometown to introduce her to his family, only for things to go terribly wrong upon arrival.",2024,20241h 42m,6.1,671,,young man brings girlfriend rural oregon hometown introduce family things terribly wrong upon arrival
tt30326011,Girl in the Video,"Explores the tale of Mo, a widow who is doing her best to raise her two teenagers.",2024,20241h 27m,5.5,354,,explores tale widow best raise two teenagers
